round,accuracy,avg_weight,method,drift_frac
1,93.85,1.0,FedAvg_drift0,0.0
2,95.53,1.0,FedAvg_drift0,0.0
3,96.42,1.0,FedAvg_drift0,0.0
4,96.87,1.0,FedAvg_drift0,0.0
5,97.27,1.0,FedAvg_drift0,0.0
6,97.45,1.0,FedAvg_drift0,0.0
7,97.52,1.0,FedAvg_drift0,0.0
8,97.65,1.0,FedAvg_drift0,0.0
9,97.63,1.0,FedAvg_drift0,0.0
10,97.72,1.0,FedAvg_drift0,0.0
11,97.76,1.0,FedAvg_drift0,0.0
12,97.82,1.0,FedAvg_drift0,0.0
13,97.85,1.0,FedAvg_drift0,0.0
14,97.84,1.0,FedAvg_drift0,0.0
15,98.0,1.0,FedAvg_drift0,0.0
16,97.94,1.0,FedAvg_drift0,0.0
17,98.0,1.0,FedAvg_drift0,0.0
18,97.99,1.0,FedAvg_drift0,0.0
19,98.09,1.0,FedAvg_drift0,0.0
20,98.03,1.0,FedAvg_drift0,0.0
21,98.06,1.0,FedAvg_drift0,0.0
22,98.06,1.0,FedAvg_drift0,0.0
23,98.08,1.0,FedAvg_drift0,0.0
24,98.06,1.0,FedAvg_drift0,0.0
25,98.09,1.0,FedAvg_drift0,0.0
26,98.06,1.0,FedAvg_drift0,0.0
27,98.09,1.0,FedAvg_drift0,0.0
28,98.08,1.0,FedAvg_drift0,0.0
29,98.08,1.0,FedAvg_drift0,0.0
30,98.02,1.0,FedAvg_drift0,0.0
1,93.93,1.0,AdaptiveFL_drift0,0.0
2,95.53,1.0,AdaptiveFL_drift0,0.0
3,96.41,1.0,AdaptiveFL_drift0,0.0
4,96.92,1.0,AdaptiveFL_drift0,0.0
5,97.35,1.0,AdaptiveFL_drift0,0.0
6,97.44,1.0,AdaptiveFL_drift0,0.0
7,97.61,1.0,AdaptiveFL_drift0,0.0
8,97.65,1.0,AdaptiveFL_drift0,0.0
9,97.68,1.0,AdaptiveFL_drift0,0.0
10,97.83,1.0,AdaptiveFL_drift0,0.0
11,97.81,1.0,AdaptiveFL_drift0,0.0
12,97.94,1.0,AdaptiveFL_drift0,0.0
13,97.92,1.0,AdaptiveFL_drift0,0.0
14,97.97,1.0,AdaptiveFL_drift0,0.0
15,97.97,1.0,AdaptiveFL_drift0,0.0
16,97.96,1.0,AdaptiveFL_drift0,0.0
17,97.98,1.0,AdaptiveFL_drift0,0.0
18,97.98,1.0,AdaptiveFL_drift0,0.0
19,98.04,1.0,AdaptiveFL_drift0,0.0
20,98.02,1.0,AdaptiveFL_drift0,0.0
21,98.08,1.0,AdaptiveFL_drift0,0.0
22,98.14,1.0,AdaptiveFL_drift0,0.0
23,98.14,1.0,AdaptiveFL_drift0,0.0
24,98.12,1.0,AdaptiveFL_drift0,0.0
25,98.22,1.0,AdaptiveFL_drift0,0.0
26,98.26,1.0,AdaptiveFL_drift0,0.0
27,98.18,1.0,AdaptiveFL_drift0,0.0
28,98.17,1.0,AdaptiveFL_drift0,0.0
29,98.2,1.0,AdaptiveFL_drift0,0.0
30,98.17,1.0,AdaptiveFL_drift0,0.0
1,93.95,1.0,FedAvg_drift30,0.3
2,95.54,1.0,FedAvg_drift30,0.3
3,96.51,1.0,FedAvg_drift30,0.3
4,96.96,1.0,FedAvg_drift30,0.3
5,97.19,1.0,FedAvg_drift30,0.3
6,97.38,1.0,FedAvg_drift30,0.3
7,97.53,1.0,FedAvg_drift30,0.3
8,97.63,1.0,FedAvg_drift30,0.3
9,97.66,1.0,FedAvg_drift30,0.3
10,97.78,1.0,FedAvg_drift30,0.3
11,96.84,0.715,FedAvg_drift30,0.3
12,97.44,0.715,FedAvg_drift30,0.3
13,97.51,0.715,FedAvg_drift30,0.3
14,97.53,0.715,FedAvg_drift30,0.3
15,97.44,0.715,FedAvg_drift30,0.3
16,97.44,0.715,FedAvg_drift30,0.3
17,97.52,0.715,FedAvg_drift30,0.3
18,97.59,0.715,FedAvg_drift30,0.3
19,97.48,0.715,FedAvg_drift30,0.3
20,97.6,0.7299,FedAvg_drift30,0.3
21,97.56,0.7568,FedAvg_drift30,0.3
22,97.66,0.7805,FedAvg_drift30,0.3
23,97.62,0.7999,FedAvg_drift30,0.3
24,97.53,0.814,FedAvg_drift30,0.3
25,97.69,0.8296,FedAvg_drift30,0.3
26,97.67,0.8423,FedAvg_drift30,0.3
27,97.67,0.8547,FedAvg_drift30,0.3
28,97.54,0.8636,FedAvg_drift30,0.3
29,97.64,0.8725,FedAvg_drift30,0.3
30,97.5,0.8811,FedAvg_drift30,0.3
1,93.9,1.0,AdaptiveFL_drift30,0.3
2,95.7,1.0,AdaptiveFL_drift30,0.3
3,96.44,1.0,AdaptiveFL_drift30,0.3
4,96.83,1.0,AdaptiveFL_drift30,0.3
5,97.12,1.0,AdaptiveFL_drift30,0.3
6,97.45,1.0,AdaptiveFL_drift30,0.3
7,97.52,1.0,AdaptiveFL_drift30,0.3
8,97.55,1.0,AdaptiveFL_drift30,0.3
9,97.73,1.0,AdaptiveFL_drift30,0.3
10,97.72,1.0,AdaptiveFL_drift30,0.3
11,97.76,0.715,AdaptiveFL_drift30,0.3
12,97.8,0.715,AdaptiveFL_drift30,0.3
13,97.87,0.715,AdaptiveFL_drift30,0.3
14,97.87,0.715,AdaptiveFL_drift30,0.3
15,97.87,0.715,AdaptiveFL_drift30,0.3
16,97.87,0.715,AdaptiveFL_drift30,0.3
17,97.92,0.715,AdaptiveFL_drift30,0.3
18,97.95,0.715,AdaptiveFL_drift30,0.3
19,97.98,0.715,AdaptiveFL_drift30,0.3
20,97.98,0.715,AdaptiveFL_drift30,0.3
21,97.97,0.7297,AdaptiveFL_drift30,0.3
22,97.9,0.7553,AdaptiveFL_drift30,0.3
23,97.88,0.7811,AdaptiveFL_drift30,0.3
24,97.92,0.8018,AdaptiveFL_drift30,0.3
25,97.9,0.8194,AdaptiveFL_drift30,0.3
26,97.87,0.8368,AdaptiveFL_drift30,0.3
