round,accuracy,method,drift_detected_round
1,93.86,ADWIN,-1
2,95.79,ADWIN,-1
3,96.43,ADWIN,-1
4,96.9,ADWIN,-1
5,97.12,ADWIN,-1
6,97.4,ADWIN,-1
7,97.54,ADWIN,-1
8,97.61,ADWIN,-1
9,97.76,ADWIN,-1
10,97.69,ADWIN,-1
11,97.83,ADWIN,11
12,97.83,ADWIN,11
13,97.84,ADWIN,11
14,97.74,ADWIN,11
15,97.89,ADWIN,11
16,97.93,ADWIN,11
17,97.9,ADWIN,11
18,97.95,ADWIN,11
19,97.92,ADWIN,11
20,97.95,ADWIN,11
21,97.99,ADWIN,11
22,97.96,ADWIN,11
23,97.99,ADWIN,11
24,97.93,ADWIN,11
25,97.97,ADWIN,11
26,97.96,ADWIN,11
27,97.95,ADWIN,11
28,97.95,ADWIN,11
29,97.81,ADWIN,11
30,97.76,ADWIN,11
1,94.03,PageHinkley,-1
2,95.65,PageHinkley,-1
3,96.29,PageHinkley,-1
4,96.85,PageHinkley,-1
5,97.17,PageHinkley,-1
6,97.35,PageHinkley,-1
7,97.51,PageHinkley,-1
8,97.61,PageHinkley,-1
9,97.71,PageHinkley,-1
10,97.79,PageHinkley,-1
11,97.95,PageHinkley,11
12,98.02,PageHinkley,11
13,97.95,PageHinkley,11
14,97.98,PageHinkley,11
15,98.04,PageHinkley,11
16,98.02,PageHinkley,11
17,98.11,PageHinkley,11
18,98.04,PageHinkley,11
19,97.99,PageHinkley,11
20,98.02,PageHinkley,11
21,97.97,PageHinkley,11
22,98.07,PageHinkley,11
23,98.11,PageHinkley,11
24,97.98,PageHinkley,11
25,97.9,PageHinkley,11
26,97.87,PageHinkley,11
27,97.91,PageHinkley,11
28,97.9,PageHinkley,11
29,97.82,PageHinkley,11
30,97.72,PageHinkley,11
1,93.91,RollingMean,-1
2,95.86,RollingMean,-1
3,96.57,RollingMean,-1
4,96.91,RollingMean,-1
5,97.12,RollingMean,-1
6,97.23,RollingMean,-1
7,97.39,RollingMean,-1
8,97.49,RollingMean,-1
9,97.44,RollingMean,-1
10,97.61,RollingMean,-1
11,97.74,RollingMean,11
12,97.8,RollingMean,11
13,97.85,RollingMean,11
14,97.86,RollingMean,11
15,97.88,RollingMean,11
16,97.9,RollingMean,11
17,97.91,RollingMean,11
18,97.91,RollingMean,11
19,97.92,RollingMean,11
20,98.0,RollingMean,11
21,97.96,RollingMean,11
22,97.98,RollingMean,11
23,98.02,RollingMean,11
24,98.06,RollingMean,11
25,98.04,RollingMean,11
26,97.94,RollingMean,11
27,97.85,RollingMean,11
28,97.87,RollingMean,11
29,97.86,RollingMean,11
30,97.73,RollingMean,11
