round,accuracy,method
1,93.65,w = 1 - d
2,95.49,w = 1 - d
3,96.39,w = 1 - d
4,96.73,w = 1 - d
5,97.07,w = 1 - d
6,97.32,w = 1 - d
7,97.46,w = 1 - d
8,97.61,w = 1 - d
9,97.6,w = 1 - d
10,97.74,w = 1 - d
11,97.79,w = 1 - d
12,97.79,w = 1 - d
13,97.91,w = 1 - d
14,97.85,w = 1 - d
15,97.99,w = 1 - d
16,97.98,w = 1 - d
17,97.94,w = 1 - d
18,98.01,w = 1 - d
19,98.05,w = 1 - d
20,97.98,w = 1 - d
21,97.96,w = 1 - d
22,97.94,w = 1 - d
23,97.93,w = 1 - d
24,97.85,w = 1 - d
25,97.81,w = 1 - d
26,97.84,w = 1 - d
27,97.73,w = 1 - d
28,97.74,w = 1 - d
29,97.72,w = 1 - d
30,97.85,w = 1 - d
1,93.92,w = exp(-d)
2,95.55,w = exp(-d)
3,96.24,w = exp(-d)
4,96.75,w = exp(-d)
5,97.01,w = exp(-d)
6,97.27,w = exp(-d)
7,97.43,w = exp(-d)
8,97.64,w = exp(-d)
9,97.69,w = exp(-d)
10,97.65,w = exp(-d)
11,97.87,w = exp(-d)
12,97.8,w = exp(-d)
13,97.87,w = exp(-d)
14,97.79,w = exp(-d)
15,97.82,w = exp(-d)
16,97.98,w = exp(-d)
17,97.84,w = exp(-d)
18,97.89,w = exp(-d)
19,97.92,w = exp(-d)
20,97.89,w = exp(-d)
21,97.79,w = exp(-d)
22,97.84,w = exp(-d)
23,97.78,w = exp(-d)
24,97.86,w = exp(-d)
25,97.8,w = exp(-d)
26,97.86,w = exp(-d)
27,97.82,w = exp(-d)
28,97.85,w = exp(-d)
29,97.91,w = exp(-d)
30,97.75,w = exp(-d)
1,94.03,w = binary threshold
2,95.58,w = binary threshold
3,96.35,w = binary threshold
4,96.88,w = binary threshold
5,97.01,w = binary threshold
6,97.36,w = binary threshold
7,97.51,w = binary threshold
8,97.63,w = binary threshold
9,97.77,w = binary threshold
10,97.75,w = binary threshold
11,97.8,w = binary threshold
12,97.89,w = binary threshold
13,97.89,w = binary threshold
14,97.89,w = binary threshold
15,97.91,w = binary threshold
16,97.83,w = binary threshold
17,97.85,w = binary threshold
18,97.89,w = binary threshold
19,97.9,w = binary threshold
20,97.9,w = binary threshold
21,97.89,w = binary threshold
22,97.86,w = binary threshold
23,97.89,w = binary threshold
24,97.89,w = binary threshold
25,97.85,w = binary threshold
26,97.91,w = binary threshold
27,97.91,w = binary threshold
28,97.9,w = binary threshold
29,97.93,w = binary threshold
30,97.93,w = binary threshold
