round,accuracy,round_time,num_clients,method
1,95.42,22.511,5,5 clients
2,96.83,22.354,5,5 clients
3,97.17,21.553,5,5 clients
4,97.58,20.92,5,5 clients
5,97.85,21.715,5,5 clients
6,97.88,21.087,5,5 clients
7,97.86,20.752,5,5 clients
8,97.95,21.892,5,5 clients
9,97.99,21.139,5,5 clients
10,98.09,21.18,5,5 clients
11,98.0,18.734,5,5 clients
12,98.05,17.843,5,5 clients
13,98.13,17.824,5,5 clients
14,98.03,23.646,5,5 clients
15,98.07,19.212,5,5 clients
16,98.08,17.817,5,5 clients
17,98.14,18.919,5,5 clients
18,98.07,17.701,5,5 clients
19,98.12,17.861,5,5 clients
20,98.09,18.399,5,5 clients
1,92.13,21.575,20,20 clients
2,93.92,21.798,20,20 clients
3,94.98,21.194,20,20 clients
4,95.52,21.452,20,20 clients
5,95.91,23.288,20,20 clients
6,96.24,68.241,20,20 clients
7,96.59,91.445,20,20 clients
8,96.82,127.306,20,20 clients
9,96.95,6704.58,20,20 clients
10,97.03,34.605,20,20 clients
11,97.09,16.077,20,20 clients
12,97.22,20.383,20,20 clients
13,97.27,15.442,20,20 clients
14,97.29,16.984,20,20 clients
15,97.38,15.053,20,20 clients
16,97.42,15.782,20,20 clients
17,97.47,15.3,20,20 clients
18,97.55,15.687,20,20 clients
19,97.56,14.433,20,20 clients
20,97.66,15.647,20,20 clients
1,89.43,20.004,50,50 clients
2,91.54,19.419,50,50 clients
3,92.45,21.766,50,50 clients
4,93.3,22.082,50,50 clients
5,93.82,23.78,50,50 clients
6,94.31,19.638,50,50 clients
7,94.53,19.674,50,50 clients
8,94.87,19.358,50,50 clients
9,95.17,18.933,50,50 clients
10,95.44,19.065,50,50 clients
11,95.76,17.518,50,50 clients
12,95.91,14.47,50,50 clients
13,96.02,19.088,50,50 clients
14,96.13,18.465,50,50 clients
15,96.29,17.009,50,50 clients
16,96.37,14.768,50,50 clients
17,96.48,16.658,50,50 clients
18,96.45,14.942,50,50 clients
19,96.57,16.532,50,50 clients
20,96.68,15.367,50,50 clients
